-5.253836034167722602e-01,-2.664464290149970438e-01,9.786775298604101891e+00
4.999328593244395380e-01,4.503424103723330796e-01,-9.782514149388305214e+00
-9.787760019878318118e+00,-3.576050771965020303e-01,-6.284260773715067971e-01
9.790692520735003512e+00,-2.135061634078135595e-01,4.697074065563215939e-01
-1.954982920569014460e-01,-9.789018514104974145e+00,5.401750836268839340e-01
1.797593085849830408e-01,9.805526373944315921e+00,7.692276388805303552e-03
-2.798005419134430571e-01,6.782410927552442459e+00,7.076764581914331664e+00
-6.206336980382324287e-01,-5.770965849120766045e+00,7.906330739369928473e+00
-8.742213625768009422e+00,-1.478739345838613328e-01,4.422447556700162430e+00
4.761591720988588072e+00,2.235259426612158651e-02,8.579281777879646853e+00
