Fs,100
Logging Type,0
Initialization time,36.5
Waiting time,3
ax,ay,az,gx,gy,gz
-228,-776,14968,-427,155,-96
-124,-752,14856,-420,141,-75
-156,-808,14816,-417,146,-66
-160,-808,14804,-412,106,-118
-148,-844,14856,-420,137,-87
-156,-796,14812,-443,151,-80
-144,-820,14760,-451,138,-66
-100,-800,14832,-442,133,-68
-192,-832,14876,-441,173,-119
-140,-800,14836,-430,155,-91
-264,-800,14688,-435,158,-64
-104,-836,15012,-441,143,-90
-168,-756,14864,-417,138,-51
-208,-804,14796,-418,174,-88
-116,-756,14868,-421,152,-85
-212,-832,14760,-424,149,-55
-112,-836,14880,-426,145,-88
-100,-812,14928,-430,143,-85
-116,-916,14828,-427,157,-94
-172,-764,14812,-430,135,-93
-84,-744,14984,-427,129,-80
-112,-860,14788,-418,160,-95
-148,-884,14740,-431,137,-101
-112,-792,14744,-421,145,-82
-216,-780,14892,-428,155,-69
-80,-752,14784,-433,175,-59
-168,-864,14840,-429,171,-87
-244,-768,14968,-436,156,-92
-120,-720,14864,-438,158,-63
-88,-808,14852,-429,135,-80
-252,-860,14800,-441,162,-97
-60,-808,14836,-409,137,-81
-184,-732,14788,-426,159,-76
-192,-752,14796,-430,166,-78
-164,-748,15000,-426,161,-90
-272,-788,14800,-442,167,-88
-172,-820,14876,-427,145,-70
-180,-776,14896,-425,144,-79
-120,-740,14968,-418,137,-69
-124,-836,14912,-423,164,-89
-148,-780,14928,-424,134,-71
-88,-836,14856,-429,121,-86
-220,-704,14996,-423,149,-88
-112,-780,14848,-417,131,-57
-124,-792,14752,-405,140,-93
-220,-796,14896,-436,165,-59
-72,-828,14880,-440,159,-83
-172,-816,14872,-440,154,-84
-176,-844,14800,-423,146,-65
-88,-848,14908,-430,142,-92
-188,-848,14660,-440,149,-57
-108,-788,14844,-421,165,-93
-224,-776,14924,-432,152,-88
-108,-812,14952,-421,122,-63
-192,-716,14900,-444,158,-66
-152,-864,14916,-452,146,-75
-212,-768,14852,-430,146,-87
-92,-752,14944,-429,113,-92
-120,-928,14960,-421,119,-88
-156,-848,14980,-422,141,-98
-84,-740,14820,-437,142,-80
-284,-808,14800,-423,145,-103
-116,-836,14896,-430,159,-86
-196,-776,14984,-432,145,-88
-112,-824,14888,-417,154,-80
-132,-784,14708,-428,171,-96
-112,-828,14848,-431,157,-86
-204,-892,14764,-423,165,-79
-224,-800,14740,-417,135,-73
-196,-884,14828,-420,149,-88
-272,-852,14872,-417,151,-82
-48,-764,14928,-434,125,-63
-28,-796,14844,-427,141,-95
-200,-796,14820,-427,166,-95
-176,-892,14824,-434,194,-80
-136,-716,14888,-429,183,-77
-140,-792,14856,-424,158,-90
-316,-848,14724,-434,139,-103
-164,-760,14800,-431,143,-71
-160,-804,14896,-420,146,-87
-232,-844,14716,-436,156,-92
-88,-820,14908,-425,172,-75
-172,-792,14912,-427,132,-83
-184,-876,14892,-432,164,-101
-132,-716,14796,-425,137,-78
-24,-800,14800,-427,161,-66
-112,-868,14888,-421,147,-84
-132,-832,14852,-415,149,-69
-220,-848,14984,-445,176,-75
-152,-740,14988,-424,142,-89
-176,-752,15016,-457,168,-81
-80,-848,14876,-423,138,-87
-240,-860,14836,-424,169,-84
-136,-744,14892,-429,136,-83
-168,-776,14920,-410,166,-74
-216,-760,14908,-413,183,-70
-196,-816,14944,-408,136,-83
-196,-764,14968,-414,140,-65
-200,-860,15008,-416,165,-89
-172,-840,14760,-429,148,-75
-220,-840,14772,-430,130,-104
-136,-844,14832,-428,149,-66
-132,-816,14928,-434,124,-86
-200,-864,14976,-445,155,-72
-68,-800,14872,-425,159,-78
-68,-800,14804,-429,159,-109
-180,-748,14904,-428,144,-61
-248,-860,14908,-427,167,-89
-144,-824,14824,-434,138,-60
-176,-756,14888,-429,137,-75
-256,-856,14892,-454,130,-94
-96,-812,14768,-428,140,-83
-76,-836,14860,-429,169,-106
-132,-792,14820,-422,152,-68
-200,-844,14864,-426,177,-77
-164,-780,14872,-432,159,-73
-188,-832,14764,-409,144,-62
-184,-840,14932,-430,137,-70
-152,-836,14904,-422,144,-75
-120,-840,14952,-418,143,-77
-188,-816,14716,-427,144,-85
-184,-812,14872,-428,157,-76
-132,-836,14984,-427,144,-70
-112,-828,14916,-429,134,-67
-196,-800,14784,-419,163,-73
-156,-644,14852,-427,129,-87
-144,-816,14892,-420,156,-79
-132,-848,14812,-418,148,-79
-60,-900,14904,-443,155,-94
-188,-860,14888,-414,126,-73
-124,-764,14804,-438,172,-67
-216,-860,15036,-435,127,-80
-180,-868,14860,-424,180,-86
-144,-824,14984,-422,145,-86
-132,-804,14888,-435,137,-98
-224,-800,14892,-412,141,-66
-132,-752,14976,-430,155,-80
-212,-744,14872,-443,153,-57
-272,-828,14956,-429,135,-101
-116,-832,14980,-426,145,-80
-212,-768,14900,-427,140,-81
-128,-880,14800,-422,179,-74
-144,-740,14812,-435,142,-89
-112,-800,14832,-424,148,-92
-188,-816,14976,-429,152,-76
-220,-884,14864,-419,160,-79
-208,-792,14968,-439,150,-68
-252,-760,14728,-426,132,-81
-204,-840,14900,-440,138,-91
-160,-804,14784,-446,132,-84
-124,-748,14784,-423,165,-72
-184,-924,14920,-433,154,-62
-76,-808,14928,-440,140,-55
-200,-828,14924,-416,140,-65
-244,-808,14900,-433,141,-81
-164,-824,14896,-419,146,-65
-280,-852,14776,-426,127,-60
-92,-768,14776,-421,161,-103
-88,-832,14804,-429,150,-98
-240,-872,14788,-430,156,-62
-44,-824,14844,-422,158,-56
-144,-812,14928,-414,150,-74
-220,-804,14904,-439,144,-85
-160,-724,14956,-421,174,-79
-104,-812,14652,-423,143,-78
-112,-756,14824,-430,160,-75
-96,-780,14864,-417,149,-74
-196,-780,14964,-437,159,-83
-80,-828,14988,-432,169,-57
-160,-804,14908,-434,167,-93
-148,-860,14836,-416,126,-97
-164,-820,14904,-445,139,-94
-60,-788,14712,-420,142,-102
-244,-808,14872,-429,167,-61
-240,-808,14832,-403,160,-76
-140,-776,14780,-418,149,-94
-184,-716,14920,-448,117,-92
-132,-792,14884,-410,166,-89
-164,-788,14928,-422,149,-68
-120,-808,14924,-421,176,-65
-240,-744,14856,-444,161,-116
-200,-736,14868,-430,125,-93
-124,-792,14828,-429,146,-77
-76,-720,14912,-425,178,-77
-228,-788,14840,-438,160,-91
-216,-900,14784,-443,123,-66
-132,-756,14968,-434,139,-81
-152,-824,14860,-419,128,-90
-88,-816,14976,-437,135,-59
-224,-784,14680,-430,176,-91
-112,-872,14908,-426,151,-78
-76,-868,14984,-431,128,-93
-88,-784,15004,-427,149,-91
-160,-852,14932,-429,153,-79
-76,-872,14852,-421,148,-69
-136,-848,14800,-423,155,-99
-152,-772,14900,-419,132,-86
-200,-752,14780,-426,141,-78
-100,-868,14860,-430,153,-66
-136,-860,14932,-432,139,-98
-172,-788,14776,-420,131,-77
-144,-788,14872,-444,157,-93
-144,-836,14972,-447,150,-53
-88,-744,14944,-445,149,-72
-132,-848,14804,-423,140,-88
-120,-808,14852,-417,144,-89
-128,-820,14756,-426,172,-82
-84,-772,14824,-428,161,-81
-284,-848,14928,-427,165,-75
-176,-884,14972,-405,139,-66
-112,-812,14880,-439,141,-87
-240,-704,14948,-419,169,-66
-212,-800,14816,-429,154,-94
-132,-840,14956,-428,146,-107
-112,-884,14876,-424,134,-77
-112,-696,14900,-439,141,-85
-196,-840,14876,-425,145,-87
-160,-808,14804,-423,134,-77
-196,-808,14892,-416,134,-72
-264,-800,14816,-412,127,-79
-112,-792,14876,-426,147,-96
-152,-876,14952,-441,164,-84
-240,-808,14880,-438,111,-73
-140,-856,14976,-431,167,-67
-184,-780,14796,-427,137,-81
-144,-764,14840,-417,125,-95
-320,-756,14864,-428,132,-62
-156,-744,14748,-422,171,-63
-172,-776,14908,-430,153,-77
-140,-808,14864,-438,132,-64
-168,-772,14932,-442,149,-85
-164,-744,14836,-426,157,-64
-280,-788,14968,-429,169,-71
-56,-860,14824,-428,122,-76
-232,-832,14804,-416,115,-82
-120,-816,14832,-423,157,-77
-128,-760,14928,-439,146,-79
-172,-720,14776,-444,174,-92
-148,-860,14780,-411,123,-75
-216,-824,14884,-416,164,-92
-196,-896,14908,-422,168,-78
-112,-780,14960,-426,160,-81
-184,-812,14740,-423,159,-86
-208,-796,14852,-416,132,-83
-220,-840,14824,-433,142,-110
-116,-744,14916,-427,156,-81
-164,-732,14928,-426,157,-65
-132,-824,14872,-437,175,-56
-108,-792,14820,-428,158,-78
-188,-812,14928,-419,139,-82
-172,-768,14788,-421,149,-72
-240,-868,14736,-436,151,-75
-52,-780,14860,-429,124,-95
-164,-832,14848,-434,181,-70
-120,-844,14884,-430,137,-92
-148,-744,14960,-436,137,-95
-44,-668,14912,-410,152,-113
-92,-780,14968,-423,149,-67
-180,-804,14836,-400,115,-73
-164,-880,14816,-427,132,-83
16,-828,14700,-419,132,-109
-116,-724,14792,-426,176,-107
-196,-848,14808,-421,175,-88
-220,-848,14972,-428,127,-81
-160,-816,14880,-413,156,-70
-112,-768,14892,-433,160,-93
-228,-776,14880,-433,150,-59
-168,-876,14848,-427,160,-74
-216,-736,14940,-426,151,-65
-196,-808,14880,-426,139,-57
-124,-708,14876,-439,172,-85
-144,-740,14960,-442,151,-86
-148,-852,14904,-427,151,-75
-164,-844,14972,-419,154,-73
-152,-760,14936,-422,160,-83
-184,-840,14728,-429,159,-59
-172,-840,14908,-437,143,-79
-176,-856,14796,-429,148,-76
-144,-748,14824,-414,183,-74
-208,-708,14780,-446,169,-78
-180,-724,14880,-419,153,-67
-132,-844,14904,-409,161,-65
-112,-848,14832,-425,118,-80
-144,-788,14944,-434,159,-93
-180,-812,14896,-438,152,-74
-220,-844,14904,-430,155,-78
-184,-756,14832,-429,170,-93
-236,-816,14904,-410,143,-81
-160,-808,14952,-432,169,-60
-40,-832,14868,-437,154,-89
-144,-860,14972,-432,158,-88
-172,-740,14748,-443,121,-74
-156,-832,14916,-425,194,-56
-212,-748,14780,-420,142,-67
-188,-764,15004,-423,149,-86
-128,-800,15012,-447,164,-82
-184,-792,14828,-426,148,-88
-180,-904,14804,-436,144,-72
-140,-792,14788,-410,150,-80
-164,-708,14960,-440,156,-68
-104,-804,14896,-435,147,-78
-76,-840,14864,-421,146,-73
-172,-744,14792,-443,166,-75
-212,-788,14940,-432,125,-91
-144,-804,14776,-443,159,-74
-76,-796,14940,-444,149,-56
-176,-908,14852,-413,158,-97
-196,-700,14968,-417,148,-71
-112,-736,14868,-429,117,-103
-164,-756,14764,-427,151,-78
-108,-776,14928,-410,166,-89
-108,-788,14868,-435,172,-69
-100,-804,14856,-442,125,-66
-156,-760,14832,-427,137,-81
-68,-848,14716,-414,124,-89
-120,-824,14736,-411,176,-58
-164,-852,14836,-430,171,-90
-196,-748,14940,-421,156,-81
-188,-764,14808,-442,151,-78
-152,-808,14880,-443,140,-76
-192,-832,14816,-426,140,-94
-224,-752,14864,-428,135,-82
-164,-904,14852,-432,147,-77
-252,-836,14844,-434,135,-83
-176,-916,14908,-426,152,-97
-236,-840,14912,-424,156,-97
-92,-820,14856,-413,137,-71
-120,-784,14864,-425,150,-84
-188,-884,14760,-435,148,-75
-188,-804,14896,-432,166,-84
-224,-760,14796,-431,140,-85
-196,-752,14888,-406,151,-71
-184,-784,14724,-405,152,-73
-240,-868,15012,-405,155,-77
-140,-728,14808,-445,167,-76
-264,-784,14816,-415,174,-101
-112,-824,14808,-434,152,-97
-180,-828,14868,-435,154,-69
-212,-784,14920,-434,141,-59
-184,-828,14824,-428,144,-90
-136,-844,14824,-421,141,-84
-264,-832,14836,-441,122,-70
-112,-800,14852,-406,147,-80
-208,-816,14900,-414,133,-87
-184,-768,14836,-424,140,-61
-164,-804,14852,-424,142,-88
-204,-752,14776,-429,141,-72
-28,-792,14812,-408,142,-59
-180,-852,15060,-415,139,-77
-192,-728,14960,-432,158,-74
-120,-732,14856,-427,163,-86
-140,-864,14748,-427,146,-73
-136,-804,14904,-431,171,-55
-96,-848,14716,-426,133,-70
-108,-820,14880,-420,168,-69
-176,-868,14800,-421,164,-69
-160,-764,14988,-425,132,-66
-76,-816,14852,-415,139,-78
-184,-772,14956,-443,156,-83
-164,-816,14784,-413,128,-90
-192,-876,14812,-429,173,-86
-160,-800,14784,-420,142,-83
-168,-804,14912,-423,153,-58
-144,-836,14932,-429,130,-58
-132,-840,14784,-433,168,-75
-92,-708,14812,-433,152,-62
-164,-804,14944,-430,163,-71
-120,-812,14836,-439,154,-79
-196,-856,14852,-446,161,-81
-96,-820,14940,-405,144,-62
-112,-828,14872,-422,149,-73
-248,-844,14824,-421,158,-71
-176,-676,14660,-423,146,-85
-120,-872,14992,-420,145,-65
-128,-752,14916,-424,133,-76
-220,-864,14880,-439,142,-98
-248,-824,14828,-414,158,-69
-140,-844,14868,-420,152,-86
-112,-792,14916,-432,145,-81
-160,-948,14812,-430,188,-89
-168,-772,14760,-416,121,-85
-128,-828,14876,-435,182,-80
-88,-800,14648,-439,171,-63
-176,-868,14688,-434,158,-72
-120,-872,14832,-421,149,-81
-164,-748,14992,-419,140,-82
-100,-824,14864,-419,118,-79
-176,-704,14904,-433,180,-90
-228,-860,14932,-438,152,-71
-100,-828,14956,-427,154,-61
-140,-776,14908,-411,145,-103
-152,-792,15024,-415,129,-70
-220,-760,14840,-430,167,-82
-228,-728,14972,-453,178,-84
-132,-732,14816,-440,137,-80
-84,-816,14856,-423,153,-76
-148,-780,14796,-400,145,-83
-120,-804,14856,-424,129,-71
-216,-844,14840,-425,119,-81
-160,-752,14772,-434,141,-98
-276,-840,14896,-438,152,-95
-240,-744,14860,-426,139,-115
-180,-884,14876,-424,149,-82
-200,-780,14844,-430,112,-86
-68,-768,14908,-447,126,-75
-108,-792,14836,-431,141,-67
-196,-816,14864,-420,146,-68
-148,-816,14760,-420,152,-74
-136,-812,14824,-422,165,-75
-132,-816,14852,-424,129,-70
-200,-876,14956,-405,174,-107
-296,-784,15016,-423,144,-92
-216,-728,14748,-424,120,-78
-164,-724,14844,-429,148,-84
-256,-812,14756,-428,149,-100
-172,-760,14756,-424,169,-65
-272,-780,14892,-430,153,-76
-168,-884,14836,-415,146,-80
-188,-776,14948,-419,140,-78
-212,-784,14892,-421,144,-101
-36,-640,14856,-424,135,-82
-168,-788,14776,-423,167,-91
-148,-768,14940,-429,177,-106
-228,-740,14932,-428,126,-83
-152,-836,14844,-430,143,-95
-108,-856,14940,-425,136,-89
-164,-844,14904,-425,126,-71
-176,-848,14848,-436,138,-75
-60,-784,14880,-424,118,-88
-188,-824,14880,-414,150,-60
-224,-800,14944,-426,146,-78
-188,-804,14820,-432,132,-70
-176,-856,14760,-441,156,-76
-156,-824,14868,-438,125,-84
-144,-828,14728,-420,140,-67
-92,-804,14956,-416,154,-73
-216,-916,14804,-433,141,-75
-208,-800,14860,-427,169,-92
-224,-792,14808,-436,135,-85
-112,-872,14892,-411,142,-109
-196,-776,14904,-423,156,-65
-168,-812,14784,-408,148,-59
-180,-720,14884,-435,140,-59
-184,-752,14856,-435,149,-73
-148,-816,14684,-427,132,-74
-112,-740,14820,-429,140,-87
-236,-864,14804,-425,123,-93
-264,-768,14820,-427,160,-76
-136,-792,14852,-435,136,-68
-188,-700,14932,-434,152,-86
-148,-800,14744,-426,166,-87
-120,-812,14824,-433,147,-88
-228,-812,14832,-446,157,-82
-140,-792,14848,-432,152,-81
-144,-836,14876,-419,144,-79
-204,-836,14872,-430,145,-93
-208,-820,15016,-430,167,-82
-52,-816,14900,-440,126,-75
-104,-816,14736,-423,143,-82
-88,-748,14784,-439,149,-94
-144,-748,14932,-430,128,-88
-140,-840,14728,-450,163,-102
-196,-824,14940,-427,144,-84
-200,-800,14876,-424,127,-70
-164,-872,14928,-424,158,-102
-168,-828,14888,-436,120,-89
-148,-800,14872,-430,137,-90
-48,-880,15024,-424,156,-91
-96,-800,14952,-437,142,-73
-236,-776,15068,-446,141,-97
-88,-884,15040,-431,139,-86
-168,-708,14796,-440,132,-88
-116,-780,14960,-426,134,-53
-192,-720,14900,-415,167,-81
-252,-784,14960,-416,145,-88
-152,-688,14896,-428,113,-76
-92,-776,15000,-421,170,-41
-152,-780,14852,-426,150,-101
-112,-828,14788,-432,147,-76
-208,-816,14880,-416,139,-55
-108,-844,14664,-420,151,-80
-124,-828,14844,-428,159,-84
-192,-944,14804,-432,156,-60
-108,-824,14940,-424,156,-88
-104,-880,14852,-424,129,-88
-164,-732,14880,-433,168,-76
-136,-812,14956,-435,142,-100
-84,-788,14908,-423,130,-92
-104,-736,14848,-424,147,-84
-52,-832,15012,-422,156,-85
-240,-960,15024,-426,148,-69
-92,-720,14840,-430,131,-62
-224,-820,14764,-414,152,-97
-148,-808,14808,-435,172,-79
-140,-836,14868,-425,179,-87
-252,-884,14860,-429,151,-101
-96,-836,14956,-433,141,-77
-200,-892,14900,-432,166,-56
-116,-824,14928,-413,138,-82
-164,-836,14764,-416,154,-52
-144,-804,14860,-422,153,-84
-184,-848,15016,-426,179,-92
-272,-828,14944,-427,148,-71
-220,-788,14888,-426,146,-102
-216,-892,14816,-431,152,-58
-136,-840,14708,-431,126,-85
-136,-948,14932,-439,146,-96
-184,-852,14852,-429,134,-80
-236,-780,14836,-413,170,-92
-188,-856,14800,-414,136,-76
-20,-768,14888,-432,154,-88
-212,-776,14992,-434,151,-66
-148,-780,14832,-428,157,-55
-188,-760,14936,-432,159,-60
-156,-876,14940,-422,129,-54
-180,-808,14744,-429,140,-80
-72,-900,14716,-426,175,-66
-212,-856,14872,-428,175,-80
-132,-788,14840,-420,157,-91
-124,-772,14876,-433,151,-98
-192,-768,14840,-405,128,-67
-136,-708,14884,-428,156,-91
-184,-852,14788,-441,134,-93
-80,-868,14880,-422,137,-89
-220,-808,14928,-441,151,-96
-164,-756,14952,-431,159,-71
-124,-744,14916,-444,142,-72
-136,-820,14852,-422,163,-104
-188,-868,14824,-420,133,-95
-160,-776,14920,-450,160,-60
-116,-800,14884,-422,180,-78
-212,-788,14872,-440,129,-82
-288,-868,14948,-419,165,-88
-160,-828,14700,-423,157,-69
-172,-816,14928,-440,139,-71
-168,-812,14724,-421,136,-89
-132,-836,14860,-434,179,-81
-148,-824,14764,-411,146,-70
-188,-768,14792,-421,125,-74
-188,-728,14876,-429,115,-67
-228,-892,15012,-415,136,-91
-80,-812,14940,-423,154,-74
-176,-836,14888,-441,118,-79
-108,-812,14972,-421,172,-53
-60,-816,14872,-431,158,-84
-148,-732,14800,-421,163,-77
-172,-728,14984,-423,120,-70
-228,-768,14940,-431,128,-55
-180,-824,14848,-425,160,-99
-164,-940,14776,-443,133,-63
-132,-820,14888,-442,157,-48
-180,-800,14824,-415,145,-59
-108,-744,14800,-432,138,-94
-152,-756,14920,-419,135,-91
-140,-876,14856,-424,136,-86
-208,-752,14844,-405,156,-68
-188,-804,14864,-427,152,-72
-92,-812,14876,-419,133,-78
-164,-768,14684,-438,145,-78
-112,-824,14980,-418,137,-75
-180,-936,14864,-435,145,-93
-96,-780,14880,-422,118,-84
-124,-816,14812,-435,168,-82
-208,-792,14748,-441,164,-88
-132,-792,14796,-428,146,-96
-132,-876,14948,-424,148,-71
-88,-804,14856,-420,159,-79
-160,-868,14652,-443,166,-83
-252,-792,14932,-436,141,-79
-204,-776,14824,-419,142,-83
-164,-756,15004,-434,142,-71
-92,-840,14808,-439,162,-67
-60,-800,14744,-429,170,-97
-204,-752,14700,-427,133,-93
-136,-780,14816,-440,136,-109
-156,-840,14840,-433,134,-91
-172,-740,14844,-426,153,-68
-148,-824,14868,-435,133,-97
-204,-828,14816,-414,154,-73
-204,-800,14744,-417,160,-93
-292,-800,14760,-411,172,-62
-140,-768,14920,-425,167,-71
-204,-792,14908,-426,157,-67
-220,-792,14820,-438,153,-78
-152,-760,14872,-420,105,-94
-192,-780,14880,-409,166,-56
-204,-796,14728,-440,142,-69
-140,-784,14868,-423,155,-98
-220,-748,14992,-429,157,-62
-112,-772,14888,-420,142,-91
-200,-772,14820,-426,167,-76
-220,-884,14892,-420,133,-92
-168,-732,14920,-425,169,-85
-220,-768,14700,-441,181,-95
-188,-816,14756,-425,159,-81
-196,-820,14836,-416,159,-73
-120,-732,14752,-426,148,-94
-132,-768,14928,-439,146,-74
-48,-912,14832,-442,141,-96
-276,-756,14724,-436,168,-65
-168,-728,15016,-437,157,-70
-248,-764,14876,-443,143,-68
-168,-800,14884,-437,149,-103
-240,-748,14916,-419,137,-97
-60,-792,14912,-438,134,-72
-164,-832,14800,-440,144,-65
-216,-780,14916,-427,186,-96
-168,-812,14800,-418,153,-82
-168,-764,14748,-418,154,-67
-176,-840,14924,-422,151,-81
-192,-792,14836,-434,150,-85
-180,-828,14840,-426,146,-77
-160,-736,14880,-430,153,-97
-268,-848,14840,-417,152,-69
-196,-816,14828,-418,143,-65
-72,-796,14924,-441,157,-85
-164,-740,14920,-434,136,-65
-96,-844,14852,-434,144,-73
-88,-776,14780,-419,151,-76
-228,-868,14880,-433,108,-77
-224,-832,14940,-429,160,-88
-124,-776,14796,-416,149,-81
-164,-816,14904,-426,160,-92
-176,-752,14820,-422,158,-87
-232,-888,14896,-434,150,-92
-176,-800,14916,-435,131,-78
-32,-748,14800,-429,169,-78
-136,-760,14844,-444,146,-97
-180,-820,14916,-438,150,-53
-96,-728,14900,-439,168,-74
-68,-840,14912,-440,135,-90
-168,-788,14800,-425,139,-71
-144,-712,14812,-442,146,-77
-124,-708,14872,-421,161,-82
-112,-812,14784,-426,158,-83
-288,-816,14868,-412,156,-64
-152,-772,14812,-453,138,-53
-68,-836,14888,-420,146,-96
-192,-852,14896,-437,159,-67
-180,-824,14784,-431,140,-86
-124,-788,14944,-424,139,-62
-108,-840,14908,-446,127,-89
-92,-836,14972,-418,158,-91
-176,-820,15040,-433,151,-92
-264,-732,14860,-421,134,-85
-220,-868,14904,-422,170,-97
-212,-768,14856,-438,153,-76
-128,-800,14828,-434,168,-83
-164,-876,14848,-419,157,-100
-224,-768,14988,-430,118,-67
-180,-800,14788,-431,150,-87
-184,-852,14828,-439,156,-80
-144,-868,14984,-437,162,-100
-244,-844,14856,-426,142,-68
-228,-836,14788,-422,151,-105
-176,-704,14872,-431,155,-87
-92,-816,14904,-425,155,-84
-164,-824,14816,-426,171,-76
-164,-856,14796,-443,141,-83
-168,-808,15012,-436,142,-78
-176,-804,14792,-407,142,-82
-172,-780,14896,-416,140,-73
-136,-756,14808,-422,164,-92
-228,-840,14840,-443,171,-90
-176,-884,14924,-427,144,-82
-200,-856,14844,-431,144,-74
-188,-840,14832,-418,146,-96
-128,-720,14916,-419,156,-85
-136,-732,14824,-439,132,-105
-164,-792,14888,-419,174,-83
-176,-816,14940,-420,133,-79
-56,-868,14760,-438,165,-81
-152,-824,14988,-450,152,-97
-140,-776,14880,-418,161,-69
-160,-780,14876,-427,128,-69
-232,-812,14856,-427,161,-85
-208,-864,14772,-433,141,-92
-284,-828,14784,-420,134,-73
-268,-772,14812,-432,155,-65
-112,-828,14984,-437,131,-90
-164,-788,14792,-427,143,-82
-112,-792,14824,-427,153,-79
-132,-880,14796,-445,153,-65
-128,-740,14852,-420,131,-97
-156,-796,14868,-421,100,-68
-168,-832,14768,-417,158,-77
-160,-800,14864,-428,128,-92
-260,-832,14952,-429,157,-98
-176,-720,14736,-441,147,-70
-104,-856,14888,-432,145,-73
-80,-804,14844,-427,154,-80
-268,-836,14816,-442,142,-89
-108,-880,15044,-427,148,-73
-208,-780,14888,-445,133,-78
-184,-840,14912,-415,148,-80
-304,-788,14932,-417,141,-79
-164,-800,14972,-443,134,-74
-188,-852,14872,-425,142,-57
-180,-876,14916,-416,125,-59
-248,-796,14908,-451,173,-76
-160,-812,14836,-430,148,-83
-104,-756,14728,-432,140,-86
-172,-792,14872,-430,150,-75
-212,-796,14724,-431,124,-91
-160,-828,14876,-416,144,-79
-144,-836,14856,-426,159,-98
-176,-836,15016,-438,122,-69
-188,-776,14916,-416,163,-104
-96,-756,14880,-437,149,-92
-164,-832,14744,-430,121,-75
-96,-808,14840,-438,133,-77
-156,-856,14784,-429,131,-73
-132,-776,14776,-410,148,-83
-120,-860,14884,-417,149,-62
-136,-804,14784,-441,140,-89
-164,-728,14880,-425,165,-75
-160,-804,14924,-428,168,-92
-176,-828,14792,-443,134,-62
-148,-780,14848,-433,155,-76
-220,-800,14852,-437,139,-70
-120,-748,14940,-408,125,-71
-112,-776,14888,-425,126,-94
-108,-724,14840,-427,167,-86
-168,-804,14800,-444,149,-59
-76,-820,14888,-441,168,-103
-112,-956,14836,-435,167,-66
-240,-808,14844,-418,144,-88
-220,-824,14940,-432,144,-81
-212,-768,14868,-437,132,-74
-84,-768,14664,-428,124,-64
-256,-808,14908,-420,129,-92
-188,-868,14932,-432,161,-78
-188,-812,14836,-415,133,-62
-12,-744,14828,-434,156,-98
-164,-872,14892,-433,123,-81
-116,-776,14696,-421,127,-90
-156,-932,14996,-428,134,-78
-196,-840,14872,-414,159,-77
-64,-772,14824,-420,192,-91
-240,-824,14852,-425,159,-88
-140,-788,14872,-426,147,-100
-272,-812,14944,-426,162,-119
-212,-856,14900,-436,146,-53
-176,-840,14976,-424,151,-79
-44,-780,14848,-414,181,-82
-132,-752,14872,-435,130,-86
-100,-860,14896,-437,147,-98
-180,-744,14992,-430,153,-73
-176,-836,14984,-434,138,-61
-100,-836,14816,-420,170,-87
-108,-864,14840,-424,169,-57
-56,-780,14836,-424,141,-87
-200,-768,14984,-414,163,-76
-164,-860,14844,-424,143,-75
-144,-812,14960,-430,156,-95
-108,-728,14976,-419,145,-78
-136,-884,14808,-424,139,-85
-164,-780,14904,-437,153,-74
-164,-816,14816,-434,156,-76
-104,-788,14832,-432,137,-85
-180,-744,14852,-431,133,-78
-208,-824,14896,-433,119,-88
-240,-824,14880,-417,160,-82
-172,-804,14880,-408,141,-93
-100,-788,14868,-416,144,-60
-212,-780,14788,-404,150,-76
-140,-856,14796,-428,166,-62
-72,-788,14748,-434,165,-95
-184,-848,14760,-424,149,-91
-132,-816,14872,-417,157,-82
-84,-812,14760,-437,130,-81
-144,-940,14896,-423,152,-87
-116,-820,14800,-428,153,-82
-184,-792,14964,-425,169,-85
-220,-808,14868,-429,154,-100
-128,-848,14956,-421,164,-76
-148,-772,14960,-420,143,-93
-116,-748,14936,-418,143,-68
-60,-828,14960,-442,160,-95
-260,-784,14764,-432,134,-56
-124,-860,14788,-424,135,-86
-152,-764,14876,-423,144,-67
-108,-884,14848,-434,165,-92
-184,-788,14764,-431,144,-113
-88,-824,14864,-427,147,-88
-88,-872,14904,-430,130,-80
-144,-852,14936,-431,158,-91
-100,-816,14808,-422,152,-87
-132,-800,14888,-431,126,-83
-228,-904,15008,-407,152,-66
-196,-720,14928,-426,158,-58
-196,-804,14980,-433,155,-88
-188,-800,14848,-424,147,-106
-252,-784,14896,-431,103,-80
-88,-868,14872,-434,178,-79
-144,-892,14852,-436,127,-67
-88,-852,14892,-425,146,-78
-188,-860,14728,-425,160,-89
-108,-800,14788,-428,160,-83
-84,-772,14680,-403,164,-73
-172,-788,14772,-420,142,-74
-200,-788,14888,-415,141,-82
-176,-852,14832,-419,143,-66
-72,-780,14884,-424,145,-82
-152,-832,14876,-438,132,-86
-152,-820,14984,-421,153,-81
-160,-808,14896,-438,142,-81
-176,-816,14836,-428,132,-65
-100,-856,14804,-418,165,-77
-144,-860,14740,-419,179,-112
-100,-800,14868,-426,143,-77
-144,-816,14772,-423,148,-82
-128,-848,14852,-409,149,-78
-156,-944,14704,-418,158,-91
-192,-740,14780,-453,159,-64
-160,-860,14884,-428,141,-69
-248,-748,14896,-435,141,-73
-80,-816,14872,-398,160,-78
-164,-768,14860,-427,166,-74
-72,-852,14852,-431,176,-85
