Fs,100
Logging Type,0
Initialization time,36.5
Waiting time,3
ax,ay,az,gx,gy,gz
-188,-808,14896,-413,145,-59
-152,-872,14668,-418,178,-50
-100,-784,14900,-436,154,-88
-176,-828,14932,-423,114,-80
-132,-804,14816,-415,139,-91
-168,-820,14836,-412,125,-90
-232,-760,14836,-423,143,-82
-248,-804,14752,-432,173,-95
-288,-808,14872,-418,150,-84
-228,-800,14944,-427,154,-102
-240,-848,14764,-423,155,-120
-84,-804,14904,-424,167,-109
-100,-860,14888,-442,136,-81
-68,-784,14928,-444,147,-80
-208,-716,14812,-425,168,-83
-180,-764,14776,-415,139,-98
-204,-780,14808,-443,126,-92
-24,-696,14896,-428,168,-64
-188,-900,14952,-428,141,-70
-44,-800,14816,-421,145,-103
-120,-888,14796,-421,147,-93
-164,-852,14888,-436,172,-81
-96,-856,14836,-420,139,-82
-200,-792,14916,-433,138,-89
-136,-752,15016,-411,150,-51
-128,-732,14952,-444,172,-104
-140,-860,14888,-430,142,-74
-128,-824,14872,-420,150,-79
-132,-852,14744,-444,155,-93
-136,-776,14792,-429,176,-77
-176,-856,14892,-431,162,-97
-172,-792,14820,-421,144,-73
-108,-760,14856,-439,123,-56
-128,-828,14976,-426,129,-86
-100,-856,14824,-431,152,-85
-220,-716,14936,-431,168,-86
-240,-840,14748,-430,179,-67
-212,-788,14908,-417,153,-80
-216,-708,14796,-429,171,-89
-120,-796,14992,-448,155,-85
-104,-832,14948,-415,143,-81
-156,-816,14780,-430,198,-86
-80,-840,14852,-430,172,-60
-192,-816,14848,-416,140,-76
-236,-864,14920,-430,131,-60
-148,-788,14932,-433,143,-81
-196,-780,14768,-422,150,-95
-200,-756,14896,-430,156,-56
-136,-740,14904,-442,144,-83
-96,-768,14972,-432,160,-88
-200,-772,14912,-424,125,-83
-152,-796,14836,-434,134,-91
-152,-768,14908,-413,167,-71
-196,-820,14944,-439,153,-102
-204,-836,14924,-421,146,-65
-116,-768,14936,-425,151,-75
-68,-724,14780,-437,144,-87
-196,-804,14916,-409,124,-80
-144,-824,14812,-437,153,-116
-188,-748,14960,-429,130,-70
-112,-752,14832,-439,174,-73
-192,-800,14784,-446,129,-79
-100,-836,14868,-423,167,-83
-108,-836,14976,-422,164,-99
-148,-792,14872,-444,171,-83
-144,-872,14780,-426,121,-94
-160,-868,14824,-434,136,-83
-208,-792,14824,-433,151,-97
-132,-808,14736,-436,162,-96
-140,-816,14912,-430,149,-96
-116,-772,14744,-426,163,-83
-196,-824,14824,-434,182,-87
-136,-788,14876,-439,158,-77
-132,-744,14768,-418,138,-101
-176,-836,14820,-413,147,-105
-232,-840,14872,-420,166,-61
-240,-860,14792,-420,159,-72
-196,-764,14924,-428,140,-97
-176,-788,14896,-417,149,-87
-256,-800,14920,-425,163,-84
-48,-768,14924,-416,134,-78
-200,-816,14932,-433,155,-69
-192,-852,14764,-420,150,-99
-212,-860,14940,-425,142,-74
-96,-812,15016,-416,146,-76
-288,-876,14852,-422,163,-94
-112,-868,14964,-439,159,-79
-104,-788,14848,-424,133,-71
-164,-760,14856,-438,156,-84
-64,-792,15024,-422,135,-101
-144,-764,14860,-428,135,-83
-184,-768,14844,-439,151,-104
-144,-716,14944,-406,164,-87
-176,-760,14976,-434,138,-78
-196,-804,14940,-421,170,-58
-180,-716,14896,-419,159,-77
-116,-768,14860,-423,134,-77
-196,-748,14772,-429,137,-78
-316,-792,14916,-427,135,-91
-148,-776,15008,-427,146,-101
-148,-848,14884,-425,153,-78
-220,-728,14796,-423,128,-86
-140,-788,14680,-420,156,-112
-140,-784,14880,-425,136,-94
-252,-852,14808,-438,136,-94
-116,-788,14840,-424,140,-87
-64,-824,14872,-413,139,-81
-188,-800,14856,-433,144,-96
-140,-832,14796,-439,155,-79
-112,-808,14844,-442,146,-96
-160,-752,14832,-430,143,-73
-84,-780,14780,-419,136,-70
-124,-816,14972,-434,147,-84
-200,-884,14724,-427,147,-92
-180,-832,14976,-428,156,-72
-200,-844,14856,-431,156,-86
-208,-744,14792,-434,162,-59
-124,-796,14884,-435,140,-80
-228,-792,14780,-416,139,-54
-124,-864,14816,-419,152,-74
-244,-828,14780,-433,137,-83
-92,-800,14776,-423,163,-88
-156,-856,14824,-436,142,-61
-152,-820,14844,-437,164,-96
-200,-820,14932,-416,162,-101
-128,-736,14768,-415,130,-107
-124,-712,14816,-421,120,-90
-84,-756,14952,-422,124,-98
-252,-888,14828,-429,157,-75
-112,-788,14848,-430,138,-67
-204,-740,14828,-432,137,-83
-196,-780,14920,-422,143,-68
-204,-860,14988,-422,160,-79
-144,-776,15012,-434,157,-88
-88,-804,14940,-444,160,-78
-108,-812,14696,-449,159,-74
-76,-816,14900,-420,159,-88
-100,-896,14784,-434,170,-91
-124,-800,14792,-443,142,-93
-220,-764,14936,-435,142,-81
-244,-732,14800,-420,156,-100
-228,-892,14980,-417,151,-83
-140,-848,14796,-424,150,-65
-140,-776,14808,-417,156,-91
-172,-720,14932,-449,134,-109
-180,-808,14976,-429,178,-60
-176,-736,14880,-419,161,-73
-168,-744,14764,-412,136,-94
-144,-828,14848,-414,150,-81
-236,-892,14896,-411,129,-84
-232,-812,14852,-416,141,-91
-208,-816,14824,-420,131,-67
-156,-824,14872,-426,106,-84
-176,-912,14816,-419,175,-96
-140,-780,14852,-419,138,-97
-208,-792,14892,-416,133,-69
-128,-816,14880,-432,143,-88
-176,-760,14736,-424,134,-84
-104,-856,14916,-434,150,-84
-212,-752,14760,-435,139,-49
-96,-824,14836,-425,156,-73
-184,-832,14884,-429,140,-81
-152,-836,14840,-438,160,-91
-224,-860,14720,-427,142,-86
-184,-828,14772,-419,149,-78
-156,-816,14816,-442,104,-93
-140,-884,14872,-440,144,-65
-104,-852,14988,-423,152,-100
-132,-752,14832,-420,166,-63
-140,-756,14856,-437,143,-69
-80,-744,14820,-440,159,-88
-172,-752,14916,-436,149,-69
-136,-748,14792,-425,152,-83
-272,-784,14864,-429,152,-88
-76,-852,14872,-422,152,-102
-124,-808,14940,-443,163,-87
-196,-728,14828,-422,120,-84
-68,-768,14880,-441,125,-91
-188,-764,14852,-420,154,-77
-88,-820,14860,-412,153,-87
-144,-880,14896,-421,169,-68
-120,-768,14964,-426,144,-71
-200,-800,14856,-411,170,-73
-156,-840,14816,-421,129,-65
-148,-828,14860,-421,150,-71
-124,-736,14916,-433,194,-75
-152,-820,14808,-418,129,-90
-176,-804,14868,-426,153,-89
-100,-740,14904,-437,176,-81
-188,-856,14780,-419,150,-90
-156,-752,14824,-429,141,-81
-256,-776,14856,-433,172,-97
-228,-804,14784,-426,142,-69
-64,-712,14832,-430,167,-78
-128,-808,14840,-434,142,-94
-208,-840,14976,-435,156,-73
-120,-804,14940,-436,129,-89
-120,-824,14860,-422,161,-79
-100,-824,14920,-432,127,-106
-164,-744,14924,-425,151,-58
-200,-712,14796,-427,146,-75
-44,-676,14772,-433,162,-69
-216,-792,14828,-417,146,-68
-136,-868,14916,-442,135,-87
-128,-860,14800,-421,143,-80
-64,-788,14784,-415,174,-103
-124,-796,14832,-413,153,-64
-196,-780,14776,-424,159,-71
-140,-804,14976,-409,158,-85
-112,-816,14928,-420,135,-86
-232,-820,14844,-442,126,-91
-160,-756,14764,-430,112,-94
-36,-784,14980,-424,133,-91
-64,-824,14932,-429,153,-63
-316,-876,15024,-412,146,-105
-124,-720,14884,-429,171,-94
-96,-744,14952,-439,150,-74
-124,-768,15004,-445,158,-93
-76,-800,14760,-421,126,-66
-264,-848,14832,-418,137,-80
-216,-720,14664,-412,174,-77
-192,-764,14916,-434,142,-82
-160,-816,14872,-415,153,-90
-124,-816,14800,-425,140,-102
-136,-740,14896,-415,176,-85
-196,-740,14920,-439,145,-91
-140,-776,14820,-430,139,-69
-140,-768,14800,-414,154,-87
-144,-892,14836,-413,135,-69
-224,-784,14844,-420,159,-88
-228,-848,14912,-432,139,-111
-84,-804,14816,-415,144,-82
-72,-804,14832,-426,137,-70
-136,-868,14856,-432,131,-77
-76,-736,14936,-448,151,-96
-132,-772,14884,-429,141,-53
-200,-832,14948,-423,151,-86
-188,-828,14828,-409,153,-63
-176,-800,14992,-437,148,-93
-128,-784,14872,-427,170,-70
-140,-740,14872,-421,178,-85
-156,-792,14808,-434,159,-69
-188,-716,14944,-423,144,-79
-204,-852,15004,-442,143,-93
-156,-792,14904,-445,145,-86
-188,-896,14964,-433,134,-101
-124,-740,14792,-421,148,-86
-120,-832,14856,-425,152,-94
-164,-800,14896,-423,161,-87
-204,-828,14960,-438,129,-72
-160,-740,14892,-440,157,-50
-196,-816,14964,-437,141,-80
-240,-812,14816,-436,140,-74
-212,-780,14984,-441,152,-69
-172,-780,14860,-445,158,-83
-140,-796,14880,-449,116,-46
-248,-656,14900,-427,125,-70
-120,-784,14908,-429,157,-67
-164,-856,14924,-424,142,-77
-204,-800,14860,-420,132,-87
-192,-840,14920,-424,137,-57
-120,-716,14904,-449,162,-97
-232,-824,14820,-433,165,-91
-240,-844,14908,-436,127,-78
-192,-812,14948,-432,145,-92
-164,-752,14912,-410,139,-67
-136,-788,14960,-423,141,-84
-132,-740,14708,-431,150,-89
-100,-740,14844,-415,157,-80
-200,-856,14956,-438,178,-80
-136,-724,14904,-424,103,-87
-180,-784,14888,-429,177,-93
-188,-828,14772,-429,146,-87
-100,-692,14752,-439,179,-65
-228,-764,14960,-424,154,-84
-140,-804,14896,-432,144,-69
-68,-868,14880,-413,168,-80
-180,-812,14808,-434,153,-65
-264,-808,14832,-447,175,-71
-160,-832,14808,-435,148,-109
-84,-740,14800,-428,128,-89
-132,-848,14808,-423,144,-83
-124,-788,14876,-427,143,-80
-92,-912,14800,-436,157,-70
-112,-840,14924,-434,152,-83
-80,-816,14784,-431,146,-81
-168,-848,14928,-434,137,-73
-136,-788,14832,-438,147,-104
-208,-796,14896,-415,150,-83
-228,-896,14752,-430,170,-72
-176,-840,14916,-412,183,-84
-208,-888,14908,-412,150,-85
-92,-812,14972,-443,127,-98
-176,-816,14932,-430,111,-68
-164,-792,14892,-433,160,-87
-92,-832,14976,-437,125,-91
-100,-860,14872,-420,147,-70
-160,-768,14988,-438,140,-91
-196,-764,14872,-429,167,-73
-120,-760,14880,-416,114,-83
-228,-840,14848,-433,115,-72
-120,-824,14904,-441,163,-62
-160,-832,14840,-433,155,-95
-132,-800,14896,-436,170,-69
-208,-856,14816,-447,142,-63
-228,-928,14960,-424,152,-97
-132,-796,14724,-433,153,-71
-156,-832,14904,-433,158,-85
-212,-800,14580,-429,127,-97
-100,-792,14832,-432,158,-79
-172,-792,14764,-418,138,-82
-192,-844,14852,-418,140,-60
-112,-708,15052,-403,144,-84
-152,-764,14820,-431,159,-58
-192,-772,14844,-441,119,-75
-184,-760,14916,-420,138,-66
-252,-892,14884,-433,140,-79
-152,-708,14992,-429,144,-60
-156,-840,14848,-436,140,-74
-168,-748,14768,-413,139,-77
-60,-904,14880,-435,131,-84
-96,-840,14928,-414,137,-76
-124,-876,14960,-428,129,-86
-228,-848,14968,-416,151,-89
-232,-752,14788,-434,147,-105
-152,-876,14852,-432,144,-75
-256,-740,14896,-423,152,-78
-108,-748,14884,-415,124,-81
-160,-820,14924,-427,141,-105
-224,-764,14688,-429,161,-87
-124,-816,14996,-437,138,-90
-164,-748,14860,-434,154,-73
-116,-856,14888,-427,148,-80
-160,-840,14808,-429,147,-79
-192,-820,14768,-424,123,-86
-176,-824,14912,-449,140,-90
-200,-796,14920,-432,161,-92
-112,-820,15024,-414,145,-66
-96,-828,14904,-416,147,-79
-172,-880,14792,-432,140,-95
-136,-688,14740,-423,167,-89
-24,-860,14904,-437,127,-86
-228,-904,14840,-435,122,-85
-140,-904,14872,-428,138,-87
-68,-868,14844,-430,156,-89
-156,-780,14908,-424,115,-91
-188,-840,14816,-429,137,-73
-184,-840,14988,-443,116,-66
-256,-784,14868,-423,135,-77
-224,-804,14800,-411,130,-112
-152,-804,14968,-415,162,-70
-264,-804,14812,-424,135,-94
-100,-920,14768,-418,181,-84
-136,-816,14848,-428,141,-61
-188,-788,14804,-428,167,-98
-248,-804,14844,-407,153,-99
-100,-808,14856,-451,137,-59
-184,-780,14996,-424,136,-73
-224,-844,14860,-423,122,-77
-76,-820,14880,-420,132,-77
-228,-688,14800,-432,148,-110
-196,-836,14968,-414,157,-73
-168,-832,14860,-410,152,-84
-128,-760,14832,-428,138,-69
-176,-732,14864,-437,134,-81
-112,-832,14828,-437,145,-111
-192,-788,14876,-427,153,-85
-244,-848,14784,-413,165,-63
-76,-788,14948,-433,118,-91
-252,-808,14824,-422,171,-96
-128,-832,14792,-425,142,-81
-252,-788,14888,-426,156,-87
-220,-816,14832,-438,130,-104
-124,-716,14836,-429,155,-78
-232,-828,15012,-430,124,-82
-196,-796,14868,-440,168,-82
-92,-736,14864,-430,141,-63
-120,-848,14816,-433,136,-66
-216,-808,14788,-423,177,-62
-92,-840,14688,-444,133,-83
-92,-820,14776,-416,156,-66
-68,-828,14828,-417,143,-64
-160,-796,14956,-425,144,-76
-200,-804,14716,-435,141,-60
-172,-892,14856,-434,129,-98
-220,-728,14868,-407,161,-82
-140,-908,14836,-408,155,-54
-116,-828,14832,-429,138,-67
-152,-800,14892,-425,145,-86
-152,-868,14896,-411,135,-81
-172,-800,14856,-429,175,-73
-192,-792,15040,-437,138,-84
-108,-880,14948,-439,135,-58
-196,-756,14760,-421,111,-95
-96,-868,14836,-432,135,-99
-264,-808,14848,-434,128,-61
-176,-820,14900,-431,148,-109
-232,-716,14932,-437,159,-67
-144,-772,14788,-425,121,-68
-144,-828,14968,-425,141,-77
-152,-684,14844,-418,161,-79
-112,-700,14912,-432,141,-93
-172,-828,14940,-430,161,-76
-224,-792,14912,-427,143,-72
-252,-768,14824,-430,142,-93
-84,-780,15004,-432,139,-85
-144,-824,14996,-425,157,-96
-176,-768,14828,-430,158,-53
-88,-824,14976,-434,157,-85
-112,-836,14852,-436,128,-87
-88,-776,14760,-424,181,-90
-140,-800,14940,-438,141,-80
-192,-828,14716,-419,147,-82
-104,-816,14936,-427,152,-81
-204,-820,14928,-422,126,-44
-244,-792,14960,-433,164,-81
-176,-776,14908,-418,136,-86
-108,-724,14900,-431,146,-79
-144,-828,14776,-420,141,-64
-116,-856,14760,-424,156,-92
-196,-848,14868,-435,140,-82
-100,-836,14872,-440,158,-63
-164,-868,14704,-440,163,-106
-192,-876,14808,-436,138,-83
-180,-828,14856,-421,146,-100
-148,-860,14888,-420,167,-81
-132,-840,14916,-431,149,-89
-228,-824,14960,-428,164,-98
-144,-840,14908,-419,118,-71
-128,-800,14904,-454,163,-66
-216,-760,14864,-425,152,-70
-140,-812,14828,-427,131,-54
-140,-824,14804,-444,172,-73
-172,-788,14952,-441,126,-88
-248,-740,15004,-429,167,-87
-248,-904,14904,-430,126,-96
-128,-820,14816,-419,127,-83
-108,-820,14792,-412,131,-77
-204,-800,14892,-420,152,-86
-148,-748,14780,-429,165,-63
-164,-804,15024,-435,148,-69
-124,-816,14768,-429,148,-66
-284,-776,14932,-428,143,-81
-188,-744,14832,-417,146,-68
-152,-840,14884,-422,166,-87
-244,-796,14948,-441,157,-85
-88,-744,14908,-431,140,-51
-156,-840,14900,-437,129,-76
-168,-820,14756,-449,138,-87
-72,-856,14768,-428,140,-70
